date;location;product;balance;value
2023-07-06;1314;48812;8;67.6
2023-07-06;1314;18064;231;896.28
2023-07-06;1314;9607;21;276.57
2023-07-06;1314;1439;6;112.08
2023-07-06;1314;36857;5;15.25
2023-07-06;1314;5345;3;24.66
2023-05-25;1314;62364;1;32.3
2023-05-16;841;18064;62;139.5
2023-05-16;841;9607;0;0
2023-05-16;841;5345;0;0
2023-05-16;841;36857;4;6.2
2023-05-16;841;31330;2;103
2023-05-16;841;58701;1;42.8
2023-05-16;841;20635;3;69.93
2023-05-23;841;1439;3;45.3
2023-05-23;841;18064;60;135
2023-05-23;841;9607;3;24
2023-05-23;841;5345;3;14.97
2023-05-23;841;36857;3;4.65
2023-05-23;841;58701;1;42.8
2023-05-23;841;20635;3;69.93
2023-05-23;841;31330;2;103
2023-05-23;841;15590;1;31.08
2023-05-23;841;35416;1;5.79
2023-05-23;841;48812;1;5.98
2023-05-23;841;15589;1;26.49
2023-05-23;841;21141;1;25.63
2023-05-23;841;62782;0;0
2023-05-23;841;48813;3;14.97
2023-05-23;841;51957;3;17.19
2023-05-23;841;35772;3;35.76
2023-05-10;1314;57912;11;127.71
2023-05-10;1314;51957;2;24.48
2023-05-10;1314;15589;1;31.75
2023-05-10;1314;62782;1;13.61
2023-05-10;1314;48813;0;0
2023-05-10;1314;35416;3;46.56
2023-05-10;1314;21141;1;32.89
2023-05-10;1314;48812;3;21.51
2023-05-10;1314;35772;0;0
2023-05-10;1314;18064;224;869.12
2023-05-10;1314;9607;15;196.8
2023-05-10;1314;1439;2;37.4
2023-05-10;1314;36857;8;24.72
2023-05-10;1314;5345;1;8.17
2023-05-10;1314;13315;3;109.32
2023-05-10;1314;44217;0;0
2023-05-10;1314;58701;2;103.34
2023-05-10;1314;20635;16;481.12
2023-05-10;1314;31330;3;197.88
2023-08-14;841;15590;1;31.08
2023-08-14;841;42076;1;8.56
2023-08-14;841;55917;1;9
2023-08-14;841;21141;1;19.71
2023-08-14;841;62782;3;21.03
2023-08-14;841;48812;1;5.98
2023-08-14;841;35416;1;10.74
2023-08-14;841;15589;7;169.61
2023-08-14;841;48813;3;14.97
2023-08-14;841;51957;3;17.13
2023-08-14;841;35772;1;11.92
2023-08-14;841;1439;2;30.2
2023-08-14;841;18064;47;105.75
2023-08-14;841;9607;4;32
2023-08-14;841;5345;5;24.95
2023-08-14;841;36857;4;6.84
2023-07-03;841;15590;1;31.08
2023-07-03;841;35416;1;5.79
2023-07-03;841;21141;1;25.63
2023-07-03;841;48812;1;5.98
2023-07-03;841;48813;3;14.97
2023-07-03;841;55917;1;9
2023-07-03;841;62782;3;21.03
2023-07-03;841;15589;10;242.5
2023-07-03;841;51957;3;17.13
2023-07-03;841;35772;2;23.84
2023-07-03;841;1439;3;45.3
2023-07-03;841;18064;38;85.5
2023-07-03;841;5345;9;44.91
2023-07-03;841;36857;3;5.13
2023-07-03;841;9607;5;40
2023-06-21;1314;62364;2;65.16
2023-07-13;841;36857;3;5.13
2023-07-13;841;5345;9;44.91
2023-07-13;841;31330;2;103
2023-07-13;841;20635;3;70.11
2023-07-13;841;58701;1;42.86
2023-06-09;841;15590;1;31.08
2023-06-09;841;21141;1;25.63
2023-06-09;841;35416;1;5.79
2023-06-09;841;62782;3;21.03
2023-06-09;841;48812;1;5.98
2023-06-09;841;55917;1;9
2023-06-09;841;15589;9;220.77
2023-06-09;841;48813;3;14.97
2023-06-09;841;51957;3;17.16
2023-06-09;841;35772;2;23.84
2023-06-09;841;1439;3;45.3
2023-06-09;841;18064;0;0
2023-06-09;841;9607;7;56
2023-06-09;841;5345;7;34.93
2023-06-09;841;36857;3;4.86
2023-04-12;1314;18064;227;878.49
2023-04-12;1314;9607;18;232.56
2023-04-12;1314;1439;3;55.53
2023-04-12;1314;36857;10;31.6
2023-04-12;1314;5345;2;16.2
2023-04-12;1314;13315;1;33.11
2023-04-12;1314;44217;2;78.82
2023-04-12;1314;58701;2;103.34
2023-04-12;1314;20635;14;419.86
2023-04-12;1314;31330;4;263.84
2023-05-09;1314;62364;1;32.3
2023-07-10;841;18064;40;90
2023-07-10;841;9607;2;16
2023-07-10;841;36857;3;5.13
2023-07-10;841;5345;9;44.91
2023-07-10;841;31330;2;103
2023-07-10;841;20635;3;70.11
2023-07-10;841;58701;1;42.86
2023-07-12;841;15590;1;31.08
2023-07-12;841;35416;1;5.79
2023-07-12;841;21141;1;25.63
2023-07-12;841;48812;1;5.98
2023-07-12;841;55917;1;9
2023-07-12;841;62782;3;21.03
2023-07-12;841;15589;10;242.5
2023-07-12;841;48813;1;4.99
2023-07-12;841;51957;2;11.42
2023-07-12;841;35772;3;35.76
2023-07-12;841;1439;3;45.3
2023-06-22;1314;62364;2;65.16
2023-06-05;1314;62364;2;65.16
2023-04-20;1314;57912;11;127.71
2023-04-20;1314;51957;2;24.48
2023-04-20;1314;15589;1;32.11
2023-04-20;1314;62782;1;13.61
2023-04-20;1314;48813;0;0
2023-04-20;1314;35416;0;0
2023-04-20;1314;21141;0;0
2023-04-20;1314;48812;2;14.34
2023-04-20;1314;35772;0;0
2023-04-20;1314;18064;235;911.8
2023-04-20;1314;9607;21;273.63
2023-04-20;1314;36857;10;31.5
2023-04-20;1314;1439;5;93.4
2023-04-20;1314;5345;3;24.42
2023-05-03;1314;18064;196;760.48
2023-05-03;1314;9607;22;288.2
2023-05-03;1314;36857;9;27.81
2023-05-03;1314;1439;6;112.2
2023-05-03;1314;5345;2;16.28
2023-05-03;1314;13315;2;71.92
2023-05-03;1314;44217;1;39.52
2023-05-03;1314;58701;2;103.34
2023-05-03;1314;20635;11;330.44
2023-05-03;1314;31330;4;263.84
2023-05-03;1314;57912;11;127.71
2023-05-03;1314;51957;2;24.48
2023-05-03;1314;15589;2;64.22
2023-05-03;1314;62782;1;13.61
2023-05-03;1314;48813;1;5.99
2023-05-03;1314;35416;3;46.56
2023-05-03;1314;21141;0;0
2023-05-03;1314;48812;4;28.68
2023-05-03;1314;35772;0;0
2023-06-20;1314;62364;2;65.16
2023-06-20;1314;57912;10;116.1
2023-06-20;1314;15590;1;40.43
2023-06-20;1314;62782;1;13.61
2023-06-20;1314;51957;2;24.6
2023-06-20;1314;15589;11;327.14
2023-06-20;1314;48813;4;23.96
2023-06-20;1314;35416;5;76.85
2023-06-20;1314;21141;0;0
2023-06-20;1314;48812;8;66.72
2023-06-20;1314;18064;238;923.44
2023-06-20;1314;9607;22;289.52
2023-06-20;1314;1439;1;19.14
2023-06-20;1314;36857;9;27.54
2023-06-20;1314;5345;7;57.54
2023-06-20;1314;13315;3;111.93
2023-06-20;1314;44217;3;124.53
2023-06-20;1314;58701;1;51.67
2023-06-20;1314;20635;16;481.28
2023-06-20;1314;31330;2;132.04
2023-06-17;841;15590;1;31.08
2023-06-17;841;21141;1;25.63
2023-06-17;841;35416;1;5.79
2023-06-17;841;55917;1;9
2023-06-17;841;62782;3;21.03
2023-06-17;841;48812;1;5.98
2023-06-17;841;15589;8;195.76
2023-06-17;841;48813;3;14.97
2023-06-17;841;51957;1;5.72
2023-06-17;841;35772;3;35.76
2023-06-17;841;1439;3;45.3
2023-06-17;841;18064;45;101.25
2023-06-17;841;5345;7;34.93
2023-06-17;841;36857;1;1.62
2023-06-17;841;9607;6;48
2023-06-17;841;58701;1;42.8
2023-06-17;841;31330;2;103
2023-06-17;841;20635;3;70.11
2023-05-23;1314;62364;1;32.3
2023-07-04;841;15590;1;31.08
2023-07-04;841;35416;1;5.79
2023-07-04;841;21141;1;25.63
2023-07-04;841;48812;1;5.98
2023-07-04;841;48813;3;14.97
2023-07-04;841;55917;1;9
2023-07-04;841;62782;3;21.03
2023-07-04;841;15589;10;242.5
2023-07-04;841;51957;3;17.13
2023-07-04;841;35772;2;23.84
2023-07-04;841;1439;3;45.3
2023-07-04;841;18064;38;85.5
2023-07-04;841;5345;9;44.91
2023-07-04;841;36857;3;5.13
2023-07-04;841;9607;5;40
2023-08-02;1314;62364;1;32.58
2023-05-03;1314;62364;1;32.3
2023-05-25;841;15590;1;31.08
2023-05-25;841;35416;1;5.79
2023-05-25;841;48812;1;5.98
2023-05-25;841;15589;3;78.18
2023-05-25;841;21141;1;25.63
2023-05-25;841;62782;3;21.03
2023-05-25;841;48813;3;14.97
2023-05-25;841;51957;3;17.19
2023-05-25;841;35772;2;23.84
2023-05-25;841;1439;3;45.3
2023-05-25;841;18064;60;135
2023-05-25;841;9607;4;32
2023-05-25;841;5345;5;24.95
2023-05-25;841;36857;4;6.36
2023-05-25;841;58701;1;42.8
2023-05-25;841;31330;2;103
2023-05-25;841;20635;2;46.62
2023-05-03;841;1439;3;45.3
2023-05-03;841;18064;91;204.75
2023-05-03;841;9607;3;24
2023-05-03;841;5345;5;24.95
2023-05-03;841;36857;4;6.2
2023-05-03;841;15590;1;31.08
2023-05-03;841;48812;1;5.98
