location,product,product_name,z_value,review_days,objective,service_level,actual_service_level,service_level_delta_vs_actual,avg_inventory_value,actual_avg_inventory_value,inventory_value_delta_vs_actual,total_ordering_cost,total_lost_sales_units,total_orders,total_forecast_units,total_actual_units,horizon_days,series_days
1314,15496,TAMIFLU 75MG CAPS C/10,2.05,10,541.22,1.0,1.0,0.0,541.22,,,0.0,0.0,0,0.0,0.0,92,92
1314,15496,TAMIFLU 75MG CAPS C/10,2.05,14,541.22,1.0,1.0,0.0,541.22,,,0.0,0.0,0,0.0,0.0,92,92
1314,15496,TAMIFLU 75MG CAPS C/10,2.33,5,541.22,1.0,1.0,0.0,541.22,,,0.0,0.0,0,0.0,0.0,92,92
1314,15496,TAMIFLU 75MG CAPS C/10,2.33,7,541.22,1.0,1.0,0.0,541.22,,,0.0,0.0,0,0.0,0.0,92,92
1314,15496,TAMIFLU 75MG CAPS C/10,2.33,10,541.22,1.0,1.0,0.0,541.22,,,0.0,0.0,0,0.0,0.0,92,92
1314,15496,TAMIFLU 75MG CAPS C/10,2.33,14,541.22,1.0,1.0,0.0,541.22,,,0.0,0.0,0,0.0,0.0,92,92
1314,15496,TAMIFLU 75MG CAPS C/10,2.58,5,541.22,1.0,1.0,0.0,541.22,,,0.0,0.0,0,0.0,0.0,92,92
1314,15496,TAMIFLU 75MG CAPS C/10,2.58,7,541.22,1.0,1.0,0.0,541.22,,,0.0,0.0,0,0.0,0.0,92,92
1314,15496,TAMIFLU 75MG CAPS C/10,2.58,10,541.22,1.0,1.0,0.0,541.22,,,0.0,0.0,0,0.0,0.0,92,92
1314,15496,TAMIFLU 75MG CAPS C/10,2.58,14,541.22,1.0,1.0,0.0,541.22,,,0.0,0.0,0,0.0,0.0,92,92
1314,15589,ANTUX XAROPE 120ML,0.84,5,230.9971,1.0,1.0,0.0,227.5167,264.0759,-36.5592,320.2,0.0,10,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.04,5,230.9971,1.0,1.0,0.0,227.5167,264.0759,-36.5592,320.2,0.0,10,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.28,5,265.7671,1.0,1.0,0.0,262.2867,264.0759,-1.7892,320.2,0.0,10,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.65,5,265.7671,1.0,1.0,0.0,262.2867,264.0759,-1.7892,320.2,0.0,10,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,0.84,7,273.0675,1.0,1.0,0.0,270.9792,264.0759,6.9033,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.04,7,273.0675,1.0,1.0,0.0,270.9792,264.0759,6.9033,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,0.84,10,277.9807,1.0,1.0,0.0,275.8924,264.0759,11.8164,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.04,10,277.9807,1.0,1.0,0.0,275.8924,264.0759,11.8164,192.12,0.0,6,55.016,31.0,92,92
